tendereeId,projectId
1,1
2,2
2,21
2,26
2,27
2,80
2,105
2,115
2,136
2,141
2,222
2,325
2,342
2,368
2,469
2,562
3,3
3,5
3,68
3,69
3,93
3,110
3,127
3,146
3,168
3,188
3,202
3,217
3,246
3,252
3,280
3,299
3,302
3,345
3,366
3,384
3,410
3,418
3,429
3,464
3,466
3,468
3,481
3,492
3,535
3,578
4,4
4,52
4,63
4,154
4,279
4,294
4,295
4,298
4,313
4,385
4,391
4,592
5,6
5,197
5,475
5,565
6,7
6,41
6,48
6,58
6,65
6,90
6,111
6,124
6,149
6,157
6,175
6,180
6,193
6,196
6,203
6,205
6,213
6,219
6,235
6,256
6,339
6,360
6,364
6,375
6,408
6,425
6,448
6,498
6,501
6,508
6,509
6,512
6,548
6,564
6,567
6,574
6,594
7,8
7,15
7,393
7,524
8,9
8,32
8,183
8,233
8,234
8,260
8,276
9,10
9,24
9,50
9,87
9,112
9,284
9,290
9,317
9,319
9,473
9,505
10,11
10,18
10,22
10,150
10,211
10,289
10,320
10,350
10,379
10,507
10,561
11,12
11,42
11,62
11,100
11,143
11,184
11,195
11,198
11,283
11,297
11,328
11,397
11,480
11,506
11,538
11,570
11,580
12,13
12,30
12,36
12,43
12,64
12,67
12,81
12,97
12,101
12,142
12,148
12,182
12,214
12,230
12,245
12,274
12,278
12,286
12,303
12,330
12,349
12,389
12,413
12,416
12,432
12,444
12,476
12,552
12,586
13,14
13,488
14,16
14,54
14,57
14,76
14,109
14,119
14,159
14,164
14,165
14,189
14,190
14,192
14,208
14,224
14,226
14,371
14,387
14,426
14,460
14,465
14,471
14,489
14,496
14,528
14,539
14,540
14,544
14,545
14,556
14,576
14,581
14,587
15,17
15,420
15,482
15,568
16,19
16,117
16,128
16,176
16,282
16,516
16,529
17,20
17,185
17,229
17,239
17,241
17,293
17,310
17,427
17,467
17,503
17,527
18,23
19,25
19,56
19,56
19,56
19,56
19,83
19,125
19,147
19,155
19,258
19,262
19,270
19,318
19,332
19,362
19,414
19,435
19,486
19,487
19,520
19,589
19,593
20,28
20,37
20,55
20,106
20,106
20,106
20,267
20,288
20,500
21,29
21,84
21,96
21,131
21,242
21,248
21,272
22,31
23,33
23,75
23,281
23,300
23,309
23,357
23,361
23,483
23,566
24,34
24,237
24,358
24,392
24,396
25,35
25,45
26,38
26,517
27,39
27,173
27,225
27,515
27,542
28,40
28,46
28,94
28,209
28,231
28,263
28,421
28,470
28,484
28,504
28,519
29,44
29,71
29,78
29,88
29,107
29,151
29,153
29,161
29,167
29,171
29,177
29,194
29,212
29,216
29,220
29,240
29,261
29,291
29,346
29,351
29,363
29,398
29,407
29,430
29,431
29,440
29,463
29,499
29,514
29,518
29,534
29,537
29,590
30,47
30,61
30,118
30,122
30,156
30,336
31,49
32,51
32,104
32,521
33,53
34,59
34,187
34,405
34,563
35,60
35,170
35,455
35,502
36,66
36,265
36,400
36,406
37,70
37,322
37,554
38,72
38,178
38,394
39,73
39,206
39,415
39,449
39,541
40,74
40,266
40,268
40,307
40,316
40,478
41,77
41,451
42,79
43,82
44,85
44,95
44,315
44,323
44,337
44,340
44,441
44,457
44,510
44,511
44,526
44,560
44,585
45,86
45,459
45,472
45,582
46,89
47,91
48,92
49,98
49,271
49,386
49,450
49,485
50,99
50,348
51,102
51,259
51,388
51,530
52,103
52,139
52,207
52,314
52,329
52,372
52,474
52,549
53,108
53,113
53,269
53,377
53,424
53,433
54,114
54,200
54,381
55,116
55,253
55,378
55,443
55,493
56,120
57,121
57,352
57,446
58,123
58,404
59,126
59,579
60,129
60,494
60,533
60,571
61,130
62,132
62,479
62,532
63,133
63,201
63,218
63,367
63,411
63,557
63,577
64,134
65,135
65,204
65,228
65,275
65,321
65,343
65,551
65,558
66,137
66,232
66,312
66,370
66,409
66,522
66,547
66,573
66,595
67,138
67,166
67,210
67,333
67,344
67,354
67,365
67,395
67,428
67,434
67,523
67,591
68,140
69,144
69,144
70,145
70,327
70,412
70,417
70,439
71,152
72,158
72,497
73,160
74,162
74,287
74,341
74,355
74,437
75,163
75,292
76,169
77,172
78,174
78,331
78,338
78,419
79,179
80,181
81,186
81,382
82,191
83,199
83,264
84,215
84,285
84,422
85,221
85,324
86,223
86,238
86,243
86,273
86,335
86,376
86,531
87,227
88,236
89,244
90,247
90,461
91,249
92,250
93,251
94,254
94,454
95,255
96,257
97,277
98,296
98,543
99,301
99,374
99,462
99,513
100,304
100,356
100,380
101,305
102,306
103,308
104,311
104,458
105,326
105,436
106,334
107,347
108,353
108,373
109,359
109,588
110,369
111,383
112,390
112,569
113,399
114,401
115,402
116,403
117,423
118,438
118,490
118,555
119,442
120,445
121,447
122,452
123,453
124,456
125,477
126,491
127,495
128,525
129,536
130,546
131,550
132,553
133,559
134,572
135,575
136,583
137,584
